City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Clarence Town,AU,2021-11-27 19:02:07,-32.5833,151.7833,60.71,96,100,3.29
251,Muisne,EC,2021-11-27 19:02:07,0.6,-80.0333,75.88,83,100,7.02
252,A Coruna,ES,2021-11-27 19:02:07,43.3713,-8.396,47.12,81,40,12.66
253,Westport,US,2021-11-27 19:00:27,41.1415,-73.3579,42.76,47,6,16.53
254,Ilulissat,GL,2021-11-27 19:02:07,69.2167,-51.1,24.82,74,75,18.41
255,Mokhsogollokh,RU,2021-11-27 19:02:08,61.4681,128.9203,6.8,84,100,10.89
256,Progreso,MX,2021-11-27 19:02:08,21.2833,-89.6667,80.22,61,66,11.72
257,Minchinabad,PK,2021-11-27 19:02:08,30.163,73.5685,63.99,25,0,7.4
258,Broken Hill,AU,2021-11-27 19:02:08,-31.95,141.4333,60.19,71,23,9.22
259,Paamiut,GL,2021-11-27 19:02:09,61.994,-49.6678,38.79,96,100,12.15
260,Aldan,RU,2021-11-27 19:02:09,58.6031,125.3894,-1.28,94,100,8.08
261,Esperance,AU,2021-11-27 19:02:09,-33.8667,121.9,60.35,67,1,12.44
262,Belaya Rechka,RU,2021-11-27 19:02:10,43.4381,43.535,44.2,48,98,4.92
263,Nakamura,JP,2021-11-27 19:02:10,32.9833,132.9333,38.86,76,0,4.05
264,Batticaloa,LK,2021-11-27 19:02:10,7.7102,81.6924,79.61,84,100,4.32
265,Marshalltown,US,2021-11-27 19:02:10,42.0494,-92.908,61.03,41,1,26.46
266,Te Anau,NZ,2021-11-27 19:00:12,-45.4167,167.7167,42.46,89,100,0.2
267,Kadoma,JP,2021-11-27 19:02:11,34.7333,135.5833,49.98,60,6,2.77
268,Fort Nelson,CA,2021-11-27 19:00:15,58.8053,-122.7002,12.4,87,84,2.26
269,Morehead,US,2021-11-27 19:03:11,37.2711,-87.1764,55.15,41,1,10.36
270,Lubang,PH,2021-11-27 19:03:11,13.8584,120.124,82.13,79,100,21.45
271,Yar-Sale,RU,2021-11-27 19:03:11,66.8333,70.8333,3.87,97,98,6.44
272,Khani,GE,2021-11-27 19:03:11,41.9563,42.9566,44.17,64,100,4.23
273,Yenagoa,NG,2021-11-27 19:00:57,4.9247,6.2642,77.99,89,100,4.85
274,Zeya,RU,2021-11-27 19:03:12,53.75,127.2667,17.35,73,100,4.12
275,Nuevo Progreso,MX,2021-11-27 19:03:12,23.1667,-97.95,74.79,61,76,4.09
276,Garoua,CM,2021-11-27 19:03:12,9.3,13.4,83.21,17,97,3.69
277,Novouralsk,RU,2021-11-27 19:03:13,57.2439,60.0839,26.82,89,100,13.6
278,Salinopolis,BR,2021-11-27 19:03:13,-0.6136,-47.3561,83.62,72,27,10.09
279,Lae,PG,2021-11-27 19:03:13,-6.7221,146.9847,75.09,89,17,6.46
280,Doka,SD,2021-11-27 19:03:13,13.5167,35.7667,84.49,33,5,8.81
281,Kuntaur,GM,2021-11-27 19:03:14,13.6667,-14.8833,90.45,20,15,4.72
282,Kodiak,US,2021-11-27 19:03:14,57.79,-152.4072,6.31,78,40,10.36
283,Olafsvik,IS,2021-11-27 19:03:14,64.8945,-23.7142,39.16,90,100,2.51
284,Jimo,CN,2021-11-27 19:03:14,36.3897,120.4622,45.54,71,100,4.12
285,Flin Flon,CA,2021-11-27 19:03:15,54.7682,-101.865,27.43,73,67,14.25
286,Las Tunas,CU,2021-11-27 19:03:15,20.9617,-76.9511,84.33,44,23,10.71
287,Kavieng,PG,2021-11-27 18:59:28,-2.5744,150.7967,81.0,76,90,3.06
288,Nanortalik,GL,2021-11-27 19:03:15,60.1432,-45.2371,43.12,90,100,14.65
289,Honiara,SB,2021-11-27 19:03:15,-9.4333,159.95,77.13,86,99,3.47
